dt,open,high,low,close,vol,prev_rangeHigh,prev_rangeLow,prev_rangeDir,category,range_size,contract,tf
2014-12-15 01:00:00-05:00,4202.0,4204.75,4200.0,4201.75,788,4204.75,4200.0,0.0,NOISE,4.75,NQ_03-15,1H
2014-12-15 02:00:00-05:00,4202.0,4204.25,4195.0,4196.75,538,4204.75,4200.0,0.0,FLIP_SHORT,4.75,NQ_03-15,1H
2014-12-15 03:00:00-05:00,4197.25,4205.0,4197.0,4203.5,1051,4204.25,4195.0,-1.0,MANIPULATION_UP,9.25,NQ_03-15,1H
2014-12-15 04:00:00-05:00,4203.0,4216.5,4202.75,4215.5,2953,4204.25,4195.0,-1.0,FLIP_LONG,9.25,NQ_03-15,1H
2014-12-15 05:00:00-05:00,4216.0,4227.0,4215.25,4224.5,3401,4216.5,4202.75,1.0,EXTEND_UP,13.75,NQ_03-15,1H
2014-12-15 06:00:00-05:00,4224.0,4226.25,4219.25,4220.75,2197,4227.0,4215.25,1.0,NOISE,11.75,NQ_03-15,1H
2014-12-15 07:00:00-05:00,4221.0,4223.75,4215.0,4219.75,2573,4227.0,4215.25,1.0,MANIPULATION_DOWN,11.75,NQ_03-15,1H
2014-12-15 08:00:00-05:00,4219.75,4222.75,4215.75,4218.25,2617,4227.0,4215.25,1.0,NOISE,11.75,NQ_03-15,1H
2014-12-15 09:00:00-05:00,4218.25,4222.75,4207.75,4212.0,7301,4227.0,4215.25,1.0,FLIP_SHORT,11.75,NQ_03-15,1H
2014-12-15 10:00:00-05:00,4212.0,4234.0,4210.5,4217.75,49529,4222.75,4207.75,-1.0,MANIPULATION_UP,15.0,NQ_03-15,1H
2014-12-15 11:00:00-05:00,4217.75,4219.0,4176.5,4195.0,66114,4222.75,4207.75,-1.0,EXTEND_DOWN,15.0,NQ_03-15,1H
2014-12-15 12:00:00-05:00,4195.5,4195.5,4141.0,4144.0,85752,4219.0,4176.5,-1.0,EXTEND_DOWN,42.5,NQ_03-15,1H
2014-12-15 13:00:00-05:00,4143.75,4188.5,4143.25,4184.0,52554,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-15 14:00:00-05:00,4184.0,4190.0,4157.5,4163.25,34640,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-15 15:00:00-05:00,4163.0,4183.0,4156.25,4164.0,39819,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-15 16:00:00-05:00,4164.0,4175.0,4148.5,4154.75,60584,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-15 17:00:00-05:00,4154.75,4164.5,4151.25,4156.0,11141,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-15 19:00:00-05:00,4162.25,4165.5,4157.75,4165.0,1438,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-15 20:00:00-05:00,4165.0,4170.25,4161.5,4165.25,2103,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-15 21:00:00-05:00,4165.0,4172.5,4164.75,4168.25,1839,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-15 22:00:00-05:00,4168.0,4171.25,4165.0,4167.5,1477,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-15 23:00:00-05:00,4167.5,4169.0,4164.25,4165.0,1334,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-16 00:00:00-05:00,4165.0,4170.5,4163.75,4169.5,1652,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-16 01:00:00-05:00,4169.75,4169.75,4157.0,4157.75,1864,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-16 02:00:00-05:00,4157.5,4167.5,4157.5,4165.25,797,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-16 03:00:00-05:00,4165.75,4169.75,4159.0,4169.25,1790,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-16 04:00:00-05:00,4169.0,4173.75,4150.25,4154.0,9371,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-16 05:00:00-05:00,4153.25,4169.5,4148.75,4169.0,5971,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-16 06:00:00-05:00,4169.25,4176.5,4165.0,4170.25,4148,4195.5,4141.0,-1.0,NOISE,54.5,NQ_03-15,1H
2014-12-16 07:00:00-05:00,4170.0,4170.0,4139.25,4139.75,9432,4195.5,4141.0,-1.0,EXTEND_DOWN,54.5,NQ_03-15,1H
2014-12-16 08:00:00-05:00,4139.75,4139.75,4110.25,4121.25,24543,4170.0,4139.25,-1.0,EXTEND_DOWN,30.75,NQ_03-15,1H
2014-12-16 09:00:00-05:00,4121.5,4142.0,4120.25,4132.0,17683,4139.75,4110.25,-1.0,MANIPULATION_UP,29.5,NQ_03-15,1H
2014-12-16 10:00:00-05:00,4132.0,4146.5,4111.75,4128.25,64606,4139.75,4110.25,-1.0,MANIPULATION_UP,29.5,NQ_03-15,1H
2014-12-16 11:00:00-05:00,4128.0,4148.0,4105.25,4146.0,85296,4139.75,4110.25,-1.0,FLIP_LONG,29.5,NQ_03-15,1H
2014-12-16 12:00:00-05:00,4145.75,4189.75,4138.25,4167.25,75501,4148.0,4105.25,1.0,EXTEND_UP,42.75,NQ_03-15,1H
2014-12-16 13:00:00-05:00,4167.25,4172.5,4151.5,4151.5,40648,4189.75,4138.25,1.0,NOISE,51.5,NQ_03-15,1H
2014-12-16 14:00:00-05:00,4151.75,4158.25,4122.25,4141.25,60446,4189.75,4138.25,1.0,MANIPULATION_DOWN,51.5,NQ_03-15,1H
2014-12-16 15:00:00-05:00,4141.0,4148.5,4122.0,4128.75,30011,4189.75,4138.25,1.0,FLIP_SHORT,51.5,NQ_03-15,1H
2014-12-16 16:00:00-05:00,4128.5,4134.75,4085.75,4087.25,80120,4148.5,4122.0,-1.0,EXTEND_DOWN,26.5,NQ_03-15,1H
2014-12-16 17:00:00-05:00,4087.5,4094.0,4080.75,4088.0,16355,4134.75,4085.75,-1.0,MANIPULATION_DOWN,49.0,NQ_03-15,1H
2014-12-16 19:00:00-05:00,4088.25,4092.0,4088.0,4090.0,1925,4134.75,4085.75,-1.0,NOISE,49.0,NQ_03-15,1H
2014-12-16 20:00:00-05:00,4089.75,4096.25,4089.75,4095.5,2714,4134.75,4085.75,-1.0,NOISE,49.0,NQ_03-15,1H
2014-12-16 21:00:00-05:00,4095.5,4096.25,4092.0,4094.0,980,4134.75,4085.75,-1.0,NOISE,49.0,NQ_03-15,1H
2014-12-16 22:00:00-05:00,4094.25,4097.0,4087.5,4089.75,1210,4134.75,4085.75,-1.0,NOISE,49.0,NQ_03-15,1H
2014-12-16 23:00:00-05:00,4089.5,4093.5,4081.5,4093.25,1901,4134.75,4085.75,-1.0,MANIPULATION_DOWN,49.0,NQ_03-15,1H
2014-12-17 00:00:00-05:00,4093.0,4098.0,4087.5,4093.25,2644,4134.75,4085.75,-1.0,NOISE,49.0,NQ_03-15,1H
